training on cuda
loss 0.4010, contact ratio 0.070, train acc 0.907, train prec 0.423, train recall 0.912, time 9.9 sec
loss 0.4078, contact ratio 0.077, train acc 0.898, train prec 0.422, train recall 0.907, time 3.6 sec
loss 0.4116, contact ratio 0.076, train acc 0.899, train prec 0.424, train recall 0.898, time 3.7 sec
loss 0.4072, contact ratio 0.070, train acc 0.910, train prec 0.432, train recall 0.900, time 3.9 sec
loss 0.4148, contact ratio 0.069, train acc 0.906, train prec 0.417, train recall 0.888, time 3.7 sec
loss 0.4142, contact ratio 0.063, train acc 0.912, train prec 0.411, train recall 0.884, time 3.8 sec
loss 0.4142, contact ratio 0.063, train acc 0.913, train prec 0.412, train recall 0.883, time 3.7 sec
loss 0.4170, contact ratio 0.062, train acc 0.912, train prec 0.402, train recall 0.875, time 3.6 sec
loss 0.4160, contact ratio 0.061, train acc 0.912, train prec 0.402, train recall 0.877, time 3.8 sec
loss 0.4170, contact ratio 0.062, train acc 0.912, train prec 0.402, train recall 0.875, time 3.8 sec
loss 0.4162, contact ratio 0.062, train acc 0.910, train prec 0.400, train recall 0.878, time 3.8 sec
loss 0.4150, contact ratio 0.062, train acc 0.911, train prec 0.402, train recall 0.880, time 3.8 sec
loss 0.4151, contact ratio 0.062, train acc 0.912, train prec 0.401, train recall 0.880, time 3.8 sec
loss 0.4133, contact ratio 0.061, train acc 0.913, train prec 0.404, train recall 0.882, time 3.6 sec
loss 0.4144, contact ratio 0.061, train acc 0.913, train prec 0.403, train recall 0.879, time 3.8 sec
loss 0.4143, contact ratio 0.060, train acc 0.914, train prec 0.401, train recall 0.879, time 3.8 sec
loss 0.4146, contact ratio 0.060, train acc 0.913, train prec 0.399, train recall 0.879, time 3.7 sec
loss 0.4145, contact ratio 0.060, train acc 0.913, train prec 0.400, train recall 0.879, time 3.8 sec
loss 0.4145, contact ratio 0.060, train acc 0.914, train prec 0.401, train recall 0.878, time 3.8 sec
loss 0.4149, contact ratio 0.060, train acc 0.914, train prec 0.398, train recall 0.878, time 3.6 sec
